cluster_id,seeds,total_kept,depth_reached,kept_d1,final_cohesion,final_median_age
8,12,72,4,19,0.0498241841941951,0.3258042436687201
4,8,66,3,14,0.07656656406962387,1.4442162902121836
16,5,37,3,19,1.0000000000000002,0.30116358658453113
13,31,34,3,19,0.05700655341923522,0.40246406570841886
6,11,23,3,11,0.06497224786542975,0.7282683093771389
14,5,12,3,5,0.02200252988700413,0.188911704312115
15,6,7,3,2,0.13295734826760489,0.2299794661190965
18,8,47,2,30,0.0719484371919713,0.31485284052019163
17,6,30,2,22,0.0456531166515805,3.270362765229295
10,6,11,2,8,0.1120957903873389,1.270362765229295
7,4,6,2,5,0.14878871062978902,1.3963039014373717
3,6,4,2,3,0.2885036507111944,1.0622861054072552
12,4,4,2,2,0.3351757433279263,0.43121149897330596
9,4,7,1,7,0.10293902892868115,3.482546201232033
11,12,5,1,5,0.06825855900906883,2.520191649555099
2,6,3,1,3,0.0679154115578607,0.31485284052019163
0,4,0,0,0,,
1,4,0,0,0,,
5,4,0,0,0,,
