depth,frontier_size,discovered,kept,median_age_years,cohesion,cos_med_vs_seeds
1,4,0,0,,,
1,4,0,0,,,
1,6,3,3,0.31485284052019163,0.05757094666192719,0.20628408636427742
2,3,0,0,,,
1,6,3,3,1.8973305954825461,0.1879074476015723,0.31010905780869286
2,3,1,1,1.0622861054072552,,0.16160953490794897
3,1,0,0,,,
1,8,14,14,4.269678302532512,0.08827935700963203,0.1292002208581579
2,14,37,37,1.730321697467488,0.05360343294356333,0.11043880671363561
3,37,15,15,1.4442162902121836,0.07292452858931638,0.10566437101802872
4,15,0,0,,,
1,4,0,0,,,
1,11,11,11,1.6454483230663928,0.07845174595633699,0.14927471280800184
2,11,11,11,0.6858316221765914,0.06388344670208122,0.06340558439740503
3,11,1,1,0.7282683093771389,,0.04641839244422656
4,1,0,0,,,
1,4,5,5,1.3963039014373717,0.13928035263092808,0.306516527192789
2,5,1,1,,,0.09575477373135548
3,1,0,0,,,
1,12,19,19,3.6440793976728267,0.07583772302016119,0.24929559441867666
2,19,24,24,2.64476386036961,0.04432406141648903,0.055635794785022966
3,24,23,23,0.48186173853524983,0.050632130807152204,0.07862609336596746
4,23,6,6,0.3258042436687201,0.06319062144037234,0.050058932363700515
5,6,0,0,,,
1,4,7,7,3.482546201232033,0.09208852537698235,0.19364967582285358
2,7,0,0,,,
1,6,8,8,5.938398357289527,0.1136125391876056,0.162171786175844
2,8,3,3,1.270362765229295,0.09488562178788033,0.07656238816034278
3,3,0,0,,,
1,12,5,5,2.520191649555099,0.07802976493225536,0.2064113203493157
2,5,0,0,,,
1,4,2,2,1.3949349760438057,-1.1102230246251565e-16,0.03311584646788633
2,2,2,2,0.43121149897330596,0.26640096841912486,0.27214463377452824
3,2,0,0,,,
1,31,19,19,2.357289527720739,0.08386032278564792,0.17217607848350397
2,19,13,13,1.4811772758384667,0.09560211415217296,0.12957215187580876
3,13,2,2,0.40246406570841886,0.02517864864362873,0.14708861431632408
4,2,0,0,,,
1,5,5,5,1.7494866529774127,0.33630974128625973,0.21513163710730054
2,5,3,3,0.7282683093771389,0.2908587941086956,0.09233349981243905
3,3,4,4,0.188911704312115,0.026447411932444265,0.0
4,4,0,0,,,
1,6,2,2,4.851471594798084,0.15949752892682478,0.2276358668159154
2,2,4,4,2.628336755646817,0.14294838425397619,0.1838044745597624
3,4,1,1,0.2299794661190965,,0.0948891447500043
4,1,0,0,,,
1,5,19,19,2.521560574948665,0.06677771218183891,0.10797864703566108
2,19,15,15,1.2922655715263518,0.06308888761781159,0.05063465129364765
3,15,3,3,0.30116358658453113,1.0000000000000007,0.04623623846784657
4,3,0,0,,,
1,6,22,22,2.438056125941136,0.08875550175793856,0.1640856676634471
2,22,8,8,3.270362765229295,0.04440062527200036,0.1280356155197152
3,8,0,0,,,
1,8,30,30,2.811772758384668,0.10036045437794744,0.23136770081322988
2,30,17,17,0.31485284052019163,0.06594705265910497,0.16403160190102087
3,17,0,0,,,
