cluster_id,seeds,total_kept,depth_reached,kept_d1,final_cohesion
8,12,72,4,19,0.5428368449211121
4,8,66,3,14,0.5690164566040039
16,5,37,3,19,0.9905712008476257
13,31,34,3,19,0.6342668533325195
6,11,23,3,11,0.5781904458999634
14,5,12,3,5,0.5212966799736023
15,6,7,3,2,0.6677694320678711
18,8,47,2,30,0.5570337176322937
17,6,30,2,22,0.45105457305908203
10,6,11,2,8,0.6950120329856873
7,4,6,2,5,0.6393687129020691
3,6,4,2,3,0.8797985911369324
12,4,4,2,2,0.6484493017196655
9,4,7,1,7,0.5820161700248718
11,12,5,1,5,0.5473409295082092
2,6,3,1,3,0.5777008533477783
0,4,0,0,0,
1,4,0,0,0,
5,4,0,0,0,
