cluster_id,seeds,total_kept,depth_reached,drift_slope,drift_r2,median_year_slope,median_year_r2
0,4,0,0,0.0,0.0,0.0,0.0
1,4,0,0,0.0,0.0,0.0,0.0
2,6,3,1,0.0,0.0,0.0,0.0
3,6,4,2,0.0,0.0,0.0,0.0
4,8,66,3,0.0,0.0,0.0,0.0
5,4,0,0,0.0,0.0,0.0,0.0
6,11,23,3,-0.250703334522541,0.9956650157887181,0.0,0.0
7,4,6,2,0.0,0.0,0.0,0.0
8,12,72,4,0.0,0.0,0.0,0.0
9,4,7,1,0.0,0.0,0.0,0.0
10,6,11,2,0.0,0.0,0.0,0.0
11,12,5,1,0.0,0.0,0.0,0.0
12,4,4,2,0.0,0.0,0.0,0.0
13,31,34,3,0.0,0.0,0.0,0.0
14,5,12,3,-0.07486683704438948,0.9992249283340089,1.0,1.0
15,6,7,3,0.0,0.0,2.25,0.9959016393442622
16,5,37,3,0.0,0.0,1.0,1.0
17,6,30,2,0.0,0.0,0.0,0.0
18,8,47,2,0.0,0.0,0.0,0.0
